NumOfReceived,PRR,packetLoss,PLR,throughput,IPI,Density,COR
4236,0.4967749502,4291,0.5032250498,61614.5454545,16,27,20
3648,0.4579462717,4318,0.5420537283,53069.3559602,16,8,20
1117,0.4634854772,1293,0.5365145228,18196.1209519,16,8,20
1270,0.5754417762,937,0.4245582238,18475.3514445,16,11,20
906,0.6231086658,548,0.3768913343,13183.799555,16,11,20
1018,0.6719471947,497,0.3280528053,14809.3761972,16,11,20
1232,0.6948674563,541,0.3051325437,17940.3854969,16,11,20
1648,0.6765188834,788,0.3234811166,24005.004927,16,11,20
1778,0.7257142857,672,0.2742857143,25883.8768923,16,14,20
1511,0.6493339063,816,0.3506660937,21984.4269943,16,14,20
1837,0.6365211365,1049,0.3634788635,26727.5925801,16,14,20
1960,0.6728458634,953,0.3271541366,28521.2440705,16,14,20
2122,0.7239849881,809,0.2760150119,30891.781083,16,17,20
2262,0.6666666667,1131,0.3333333333,32948.6171996,16,17,20
2786,0.716563786,1102,0.283436214,40540.9112145,16,17,20
2593,0.6688160949,1284,0.3311839051,37732.4417728,16,17,20
2539,0.6227618347,1538,0.3772381653,36972.921085,16,20,20
2906,0.5618716164,2266,0.4381283836,42293.1195527,16,20,20
3022,0.5773786779,2212,0.4226213221,43975.101827,16,20,20
2715,0.5599092596,2134,0.4400907404,42412.825826,16,23,20
2895,0.5304140711,2563,0.4695859289,51368.5732392,16,23,20
1684,0.5339251744,1470,0.4660748256,24501.5056641,16,23,20
3141,0.5228899617,2866,0.4771100383,45700.2549233,16,5,20
1132,0.5626242545,880,0.4373757455,16484.1853754,16,5,20
257,0.5479744136,212,0.4520255864,3744.56418955,16,5,20
373,0.7674897119,113,0.2325102881,5427.76736647,16,5,20
3469,0.2050963699,13445,0.7949036301,50443.8520955,8,28,20
3234,0.1930170098,13521,0.8069829902,47060.0527163,8,28,20
3205,0.1912519394,13553,0.8087480606,46631.4285353,8,28,20
1856,0.3060686016,4208,0.6939313984,27027.0742551,8,6,20
1408,0.704,592,0.296,20488.7304343,8,6,20
1466,0.7264618434,552,0.2735381566,21338.7907849,8,6,20
1647,0.6113585746,1047,0.3886414254,23969.9820727,8,9,20
2544,0.5402420896,2165,0.4597579104,37008.8929722,8,9,20
2778,0.5844729644,1975,0.4155270356,40413.0128447,8,9,20
2741,0.587441063,1925,0.412558937,41004.9028609,8,12,20
1190,0.5466237942,987,0.4533762058,17316.4696142,8,15,20
963,0.5285400659,859,0.4714599341,18679.9085169,8,15,20
1000,0.5387931034,856,0.4612068966,26514.7126163,8,15,20
1000,0.4816955684,1076,0.5183044316,28024.0547276,8,18,20
1162,0.4607454401,1360,0.5392545599,16906.6208917,8,18,20
1338,0.4376840039,1719,0.5623159961,20828.7118656,8,18,20
1500,0.398089172,2268,0.601910828,23234.0226016,8,18,20
1697,0.3946511628,2603,0.6053488372,24687.1428356,8,21,20
1303,0.3916441238,2024,0.6083558762,19544.0535792,8,24,20
1500,0.3012048193,3480,0.6987951807,28444.4525353,8,24,20
1000,0.3124023743,2201,0.6875976257,21681.1310526,8,26,20
1000,0.3071253071,2256,0.6928746929,17018.4479124,8,26,20
500,0.2826455625,1269,0.7173544375,51613.2228948,8,26,20
1000,0.2828054299,2536,0.7171945701,17338.3034158,8,26,20
1976,0.2516235833,5877,0.7483764167,28749.9852685,8,26,20
