NumOfReceived,PRR,packetLoss,PLR,throughput,IPI,Density,COR
477,0.7794117647,135,0.2205882353,10910.1625877,8,3,20
1287,0.7861942578,350,0.2138057422,29417.1428571,64,28,20
1228,0.7496947497,410,0.2503052503,28143.9521901,64,28,20
1169,0.7211597779,452,0.2788402221,26767.7965776,64,28,20
1126,0.701120797,480,0.298879203,25806.2623502,64,28,20
1074,0.6858237548,492,0.3141762452,24614.4989024,64,28,20
229,0.6755162242,110,0.3244837758,5310.14985289,64,28,20
52,0.325,108,0.675,1204.97743738,64,6,20
70,0.472972973,78,0.527027027,1600.71455898,64,6,20
177,0.9567567568,8,0.0432432432,4046.61749074,64,6,20
180,0.9677419355,6,0.0322580645,4172.97200805,64,6,20
225,0.7705479452,67,0.2294520548,5168.23524521,64,9,20
275,0.6979695431,119,0.3020304569,6355.22005643,64,9,20
217,0.5833333333,155,0.4166666667,5020.5112176,64,9,20
193,0.5039164491,190,0.4960835509,4465.24730414,64,9,20
126,0.3519553073,232,0.6480446927,2922.40357489,64,9,20
201,0.5180412371,187,0.4819587629,4606.63254244,64,12,20
281,0.5213358071,258,0.478664193,6424.29104462,64,12,20
273,0.525,247,0.475,6318.99392358,64,12,20
369,0.6612903226,189,0.3387096774,8438.0524609,64,12,20
430,0.758377425,137,0.241622575,9835.15704973,64,12,20
360,0.7100591716,147,0.2899408284,8230.40845574,64,12,20
507,0.7090909091,208,0.2909090909,11593.7468772,64,15,20
513,0.7318116976,188,0.2681883024,11746.6891739,64,15,20
622,0.8238410596,133,0.1761589404,14242.574398,64,15,20
520,0.7232267038,199,0.2767732962,11901.6529794,64,15,20
477,0.6606648199,245,0.3393351801,10937.0331842,64,15,20
329,0.47,371,0.53,7552.02663455,64,18,20
428,0.5206812652,394,0.4793187348,9895.49959383,64,18,20
540,0.6271777003,321,0.3728222997,12362.1718001,64,18,20
604,0.6942528736,266,0.3057471264,13808.7964091,64,18,20
588,0.6901408451,264,0.3098591549,13443.0004777,64,18,20
569,0.6585648148,295,0.3414351852,13014.4287472,64,21,20
747,0.691026827,334,0.308973173,17093.3619062,64,21,20
642,0.6167146974,399,0.3832853026,14684.1181998,64,21,20
672,0.6131386861,424,0.3868613139,15390.9172746,64,21,20
676,0.6481303931,367,0.3518696069,15485.9933085,64,21,20
678,0.6666666667,339,0.3333333333,15507.526697,64,21,20
886,0.6727410782,431,0.3272589218,20346.7980834,64,24,20
855,0.6394913987,482,0.3605086013,19560.3205971,64,24,20
755,0.5861801242,533,0.4138198758,17288.012332,64,24,20
725,0.569520817,548,0.430479183,16586.2367636,64,24,20
509,0.4678308824,579,0.5321691176,11639.4815789,64,24,20
716,0.5264705882,644,0.4735294118,16369.3679286,64,26,20
667,0.5095492743,642,0.4904507257,15252.523012,64,26,20
726,0.5373797187,625,0.4626202813,16679.9137194,64,26,20
741,0.5416666667,627,0.4583333333,16944.7069743,64,26,20
807,0.5903438186,560,0.4096561814,18453.9521299,64,26,20
107,0.5404040404,91,0.4595959596,2642.1048044,64,26,20
29,0.3766233766,48,0.6233766234,672.463144382,64,3,20
91,1,0,0,2109.66526915,64,3,20
91,1,0,0,2110.1429703,64,3,20
94,1,0,0,2149.05109678,64,3,20
73,1,0,0,1622.22222222,256,4,0
72,1,0,0,1692.56208294,256,4,0
72,1,0,0,1692.56208294,256,4,0
72,1,0,0,1692.56208294,256,4,0
72,1,0,0,1692.56208294,256,4,0
72,1,0,0,1692.56208294,256,4,0
72,1,0,0,1692.56208294,256,4,0
72,1,0,0,1692.56208294,256,4,0
72,1,0,0,1692.17363817,256,4,0
72,1,0,0,1692.17363817,256,4,0
72,1,0,0,1692.17363817,256,4,0
60,0.8333333333,12,0.1666666667,1409.82114304,256,4,0
67,0.9305555556,5,0.0694444444,1575.0230494,256,4,0
72,1,0,0,1692.17363817,256,4,0
72,1,0,0,1692.56208294,256,4,0
72,1,0,0,1692.56208294,256,4,0
84,1,0,0,1935.98816466,256,4,0
140,1,0,0,3291.84859519,128,4,0
140,1,0,0,3291.84859519,128,4,0
140,1,0,0,3291.84859519,128,4,0
140,1,0,0,3291.84859519,128,4,0
140,1,0,0,3291.84859519,128,4,0
140,1,0,0,3291.84859519,128,4,0
140,1,0,0,3291.84859519,128,4,0
140,1,0,0,3291.84859519,128,4,0
141,1,0,0,3223.57664516,128,4,0
140,1,0,0,3201.42911796,128,4,0
140,1,0,0,3201.42911796,128,4,0
140,1,0,0,3201.42911796,128,4,0
140,1,0,0,3201.42911796,128,4,0
140,1,0,0,3201.42911796,128,4,0
140,1,0,0,3201.42911796,128,4,0
140,1,0,0,3201.42911796,128,4,0
132,1,0,0,3017.81643377,128,4,0
280,1,0,0,6402.85823592,64,4,0
280,1,0,0,6402.85823592,64,4,0
280,1,0,0,6402.85823592,64,4,0
280,1,0,0,6402.85823592,64,4,0
280,1,0,0,6402.85823592,64,4,0
281,1,0,0,6425.72558676,64,4,0
280,1,0,0,6402.85823592,64,4,0
264,0.9395017794,17,0.0604982206,6036.98062244,64,4,0
229,0.8297101449,47,0.1702898551,5238.9726489,64,4,0
251,0.8776223776,35,0.1223776224,5738.43416879,64,4,0
275,0.9821428571,5,0.0178571429,6287.12906939,64,4,0
276,0.9892473118,3,0.0107526882,6309.99135691,64,4,0
280,0.9964412811,1,0.0035587189,6401.44050701,64,4,0
278,0.9928571429,2,0.0071428571,6355.71593196,64,4,0
278,0.9928571429,2,0.0071428571,6361.39666523,64,4,0
277,0.9892857143,3,0.0107142857,6338.51394341,64,4,0
290,0.9897610922,3,0.0102389078,6633.01289401,64,4,0
452,0.9281314168,35,0.0718685832,10370.779457,32,4,0
523,0.9322638146,38,0.0677361854,12024.0637611,32,4,0
560,0.9946714032,3,0.0053285968,12877.6056024,32,4,0
517,0.9150442478,48,0.0849557522,11886.120391,32,4,0
457,0.8354661792,90,0.1645338208,10504.3284384,32,4,0
361,0.8595238095,59,0.1404761905,8299.59276818,32,4,0
438,0.9977220957,1,0.0022779043,10067.6058119,32,4,0
429,0.9930555556,3,0.0069444444,9807.90340976,32,4,0
420,1,0,0,9606.43246718,32,4,0
420,1,0,0,9606.43246718,32,4,0
395,0.9228971963,33,0.0771028037,9034.6210108,32,4,0
391,0.9135514019,37,0.0864485981,8943.13117778,32,4,0
392,0.9180327869,35,0.0819672131,8966.00363603,32,4,0
387,0.914893617,36,0.085106383,8851.64134476,32,4,0
393,0.9268867925,31,0.0731132075,8988.87609429,32,4,0
393,0.9160839161,36,0.0839160839,8984.86256418,32,4,0
396,0.9187935035,35,0.0812064965,9053.44930131,32,4,0
598,0.9598715891,25,0.0401284109,13686.9009263,16,4,0
815,0.9543325527,39,0.0456674473,18678.6001913,16,4,0
822,0.9524913094,41,0.0475086906,18839.0298862,16,4,0
828,0.9616724739,33,0.0383275261,18980.7889429,16,4,0
811,0.9597633136,34,0.0402366864,18591.0867545,16,4,0
817,0.9691577699,26,0.0308422301,18728.6287033,16,4,0
840,1,0,0,19251.5633874,16,4,0
840,1,0,0,19251.5633874,16,4,0
840,1,0,0,19251.5633874,16,4,0
840,1,0,0,19251.5633874,16,4,0
840,1,0,0,19251.5633874,16,4,0
840,1,0,0,19251.5633874,16,4,0
840,1,0,0,19251.5633874,16,4,0
840,1,0,0,19251.5633874,16,4,0
819,0.975,21,0.025,18757.6804284,16,4,0
729,0.8678571429,111,0.1321428571,16703.8684808,16,4,0
801,0.9535714286,39,0.0464285714,18353.633269,16,4,0
1032,1,0,0,23614.9256856,8,4,0
1680,1,0,0,38451.4942411,8,4,0
1680,1,0,0,38451.4942411,8,4,0
1680,1,0,0,38451.4942411,8,4,0
1680,1,0,0,38451.4942411,8,4,0
1680,1,0,0,38451.4942411,8,4,0
1681,1,0,0,38431.4350392,8,4,0
766,1,0,0,17516.3907454,8,4,0
1396,1,0,0,31922.8217762,8,4,0
1680,1,0,0,38417.1494155,8,4,0
1315,1,0,0,30070.566358,8,4,0
1515,0.9017857143,165,0.0982142857,34644.0365265,8,4,0
1559,0.9274241523,122,0.0725758477,35650.1999635,8,4,0
1676,0.9940688019,10,0.0059311981,38317.1238106,8,4,0
1680,0.9911504425,15,0.0088495575,38442.9022789,8,4,0
1679,0.9929036073,12,0.0070963927,38420.019599,2,4,0
1693,0.998820059,2,0.001179941,38740.377118,2,4,0
1656,0.8406091371,314,0.1593908629,37868.3329953,2,4,0
1996,0.4932048431,2051,0.5067951569,45643.2322817,2,4,0
2425,0.5239844425,2203,0.4760155575,55440.9458477,2,4,0
2016,0.5213343677,1851,0.4786656323,48780.3461662,2,4,0
2500,0.5472854641,2068,0.4527145359,63936.1007265,2,4,0
1956,0.5465213747,1623,0.4534786253,44718.5526095,2,4,0
1360,0.5159332322,1276,0.4840667678,31099.5971459,2,4,0
1684,0.4796354315,1827,0.5203645685,40641.4445958,2,4,0
1756,0.4357320099,2274,0.5642679901,40155.0680795,2,4,0
1847,0.4765221878,2029,0.5234778122,42235.9970062,2,4,0
3179,0.5062908106,3100,0.4937091894,72679.0791133,2,4,0
2779,0.5121636565,2647,0.4878363435,63534.1808292,2,4,0
2849,0.5166848023,2665,0.4833151977,65149.0825505,2,4,0
2590,0.5257815672,2336,0.4742184328,60235.3387709,2,4,0
2500,0.5504183179,2042,0.4495816821,64337.7846931,2,4,0
1588,0.5552447552,1272,0.4447552448,36305.2461881,2,4,0
