NumOfReceived,PRR,packetLoss,PLR,throughput,IPI,Density,COR
1086,0.6707844348,533,0.3292155652,86880,16,27,20
767,0.4926140013,790,0.5073859987,61407.9719077,16,27,20
695,0.4390397979,888,0.5609602021,55687.0053772,16,27,20
669,0.4392646093,854,0.5607353907,53603.7504998,16,27,20
692,0.4641180416,799,0.5358819584,55403.2810432,16,27,20
659,0.4399198932,839,0.5600801068,52843.8448348,16,27,20
708,0.4606376057,829,0.5393623943,56684.2817609,16,27,20
656,0.4571428571,779,0.5428571429,52562.1230611,16,8,20
637,0.4463910301,790,0.5536089699,50999.8410758,16,8,20
639,0.4590517241,753,0.5409482759,51240.0862662,16,8,20
678,0.4731332868,755,0.5268667132,54367.4154749,16,8,20
115,0.4674796748,131,0.5325203252,54519.9400755,16,8,20
500,0.4504504505,610,0.5495495496,51457.1904477,16,8,20
500,0.4752851711,552,0.5247148289,54759.5044703,16,8,20
500,0.4344048653,651,0.5655951347,48948.4406495,16,8,20
199,0.7537878788,65,0.2462121212,15944.912331,16,11,20
203,0.7147887324,81,0.2852112676,16265.4130814,16,11,20
195,0.7222222222,75,0.2777777778,15772.5006855,16,11,20
190,0.7089552239,78,0.2910447761,15368.077591,16,11,20
165,0.6226415094,100,0.3773584906,13314.4134174,16,11,20
167,0.6254681648,100,0.3745318352,13497.0708528,16,11,20
151,0.5741444867,112,0.4258555133,12203.938316,16,11,20
150,0.5976095618,101,0.4023904382,12094.4820941,16,11,20
187,0.6561403509,98,0.3438596491,15018.6628973,16,11,20
194,0.7106227106,79,0.2893772894,15691.7176041,16,11,20
185,0.6851851852,85,0.3148148148,14951.9416309,16,11,20
184,0.6571428571,96,0.3428571429,14847.5882957,16,11,20
197,0.6985815603,85,0.3014184397,15896.6026862,16,11,20
175,0.6529850746,93,0.3470149254,14121.3475639,16,11,20
176,0.6494464945,95,0.3505535055,14235.6929264,16,11,20
200,0.7117437722,81,0.2882562278,16113.2893145,16,11,20
210,0.7636363636,65,0.2363636364,16945.6170767,16,11,20
178,0.7542372881,58,0.2457627119,17375.812966,16,11,20
300,0.6787330317,142,0.3212669683,24169.9339718,16,11,20
284,0.6425339367,158,0.3574660633,22916.9297608,16,11,20
285,0.6566820277,149,0.3433179724,23033.9233116,16,11,20
297,0.654185022,157,0.345814978,23778.5758234,16,11,20
310,0.6966292135,135,0.3033707865,25054.4429003,16,11,20
