NumOfReceived,PRR,packetLoss,PLR,throughput,IPI,Density,COR
3555,0.5057618438,3474,0.4942381562,63189.0303843,16,27,20
3010,0.4535864979,3626,0.5464135021,53529.6966218,16,8,20
1936,0.4624940277,2250,0.5375059723,37970.9508497,16,8,20
1220,0.4876099121,1282,0.5123900879,21711.5345019,16,8,20
834,0.6921161826,371,0.3078838174,14855.0550069,16,11,20
766,0.6309719934,448,0.3690280066,13660.4834848,16,11,20
821,0.6663961039,411,0.3336038961,14605.6977521,16,11,20
936,0.7166921899,370,0.2833078101,16642.8892056,16,11,20
1346,0.6726636682,655,0.3273363318,23937.1998847,16,11,20
1356,0.6890243902,612,0.3109756098,24119.2279606,16,11,20
1453,0.7154111275,578,0.2845888725,25835.5961706,16,14,20
1218,0.6441036489,673,0.3558963511,21660.8539818,16,14,20
1488,0.6297079983,875,0.3702920017,26471.7152924,16,14,20
1620,0.6818181818,756,0.3181818182,28840.0530657,16,14,20
1677,0.7028499581,709,0.2971500419,29818.5098266,16,17,20
1573,0.7069662921,652,0.2930337079,27969.2999149,16,17,20
2115,0.6655129012,1063,0.3344870988,37606.5284933,16,17,20
2302,0.721630094,888,0.278369906,40931.5501616,16,17,20
2107,0.6716608224,1030,0.3283391776,37470.7876352,16,17,20
2116,0.6658275645,1062,0.3341724355,38350.1671114,16,20,20
2367,0.5618324235,1846,0.4381675765,42087.3063564,16,20,20
2441,0.5712614088,1832,0.4287385912,43410.6277255,16,20,20
2457,0.5724603914,1835,0.4275396086,43687.5841646,16,20,20
2377,0.5592941176,1873,0.4407058824,42272.4547741,16,23,20
2594,0.5262730777,2335,0.4737269223,46131.5724375,16,23,20
1316,0.5417867435,1113,0.4582132565,24681.0129118,16,23,20
2194,0.5275306564,1965,0.4724693436,39017.9914911,16,5,20
2516,0.5213427269,2310,0.4786572731,48057.8910398,16,5,20
315,0.7974683544,80,0.2025316456,5631.28290278,16,5,20
181,0.4826666667,194,0.5173333333,3226.74037183,16,5,20
304,0.7487684729,102,0.2512315271,5407.26054574,16,5,20
2921,0.2107959876,10936,0.7892040124,51919.8755985,8,28,20
2597,0.188393181,11188,0.811606819,46184.9242946,8,28,20
2649,0.193612045,11033,0.806387955,47101.5101555,8,28,20
2612,0.1900880576,11129,0.8099119424,46451.6835801,8,28,20
1124,0.6904176904,504,0.3095823096,20006.5341625,8,6,20
1129,0.6956253851,494,0.3043746149,20088.5479707,8,6,20
1206,0.7300242131,446,0.2699757869,21443.7226302,8,6,20
1126,0.6878436164,511,0.3121563836,20021.2534674,8,6,20
1857,0.5561545373,1482,0.4438454627,33064.9940801,8,9,20
2070,0.5390625,1770,0.4609375,36806.3895892,8,9,20
2317,0.5947125257,1579,0.4052874743,41198.2631296,8,9,20
2303,0.5866021396,1623,0.4133978604,40970.672257,8,12,20
1590,0.5580905581,1259,0.4419094419,43061.6742027,8,15,20
1000,0.5293806247,889,0.4706193753,19136.6335542,8,15,20
1000,0.5387931034,856,0.4612068966,26514.7126163,8,15,20
1000,0.4816955684,1076,0.5183044316,28024.0547276,8,18,20
1000,0.462962963,1160,0.537037037,21445.0373878,8,18,20
1000,0.4393673111,1276,0.5606326889,22397.1890632,8,18,20
1500,0.4107338445,2152,0.5892661555,26685.1968674,8,18,20
1000,0.3984063745,1510,0.6015936255,21708.7075688,8,21,20
1500,0.3940110323,2307,0.6059889677,30271.9572092,8,21,20
1022,0.3887409661,1607,0.6112590339,18172.0435557,8,24,20
1478,0.3004065041,3442,0.6995934959,28278.6599818,8,24,20
1000,0.3124023743,2201,0.6875976257,21681.1310526,8,26,20
866,0.3063318005,1961,0.6936681995,15398.2286881,8,26,20
