NumOfReceived,PRR,packetLoss,PLR,throughput,IPI,Density,COR
3907,0.5027666967,3864,0.4972333033,62502.2346509,16,27,20
3299,0.4525998079,3990,0.5474001921,52792.2482609,16,8,20
1295,0.4639914009,1496,0.5360085991,33656.837484,16,8,20
1322,0.5,1322,0.5,21178.4985374,16,8,20
885,0.668429003,439,0.331570997,14188.8373931,16,11,20
888,0.6534216336,471,0.3465783664,14236.935147,16,11,20
937,0.6809593023,439,0.3190406977,14999.0303455,16,11,20
1262,0.681425486,590,0.318574514,20214.1077654,16,11,20
1510,0.6838768116,698,0.3161231884,24212.9935262,16,11,20
1625,0.724476148,618,0.275523852,26024.3963101,16,14,20
1361,0.653698367,721,0.346301633,23529.7066869,16,14,20
1642,0.6283964791,971,0.3716035209,26284.3199865,16,14,20
1787,0.6761256148,856,0.3238743852,28605.4079268,16,14,20
1899,0.7120359955,768,0.2879640045,30388.747938,16,17,20
1856,0.6851236619,853,0.3148763381,29700.6404281,16,17,20
2427,0.6802130045,1141,0.3197869955,38844.1380162,16,17,20
2504,0.7129840547,1008,0.2870159453,40076.5231119,16,17,20
2334,0.6578354002,1214,0.3421645998,37349.8355383,16,20,20
2365,0.5918418418,1631,0.4081581582,37845.9130455,16,20,20
2685,0.5692177231,2032,0.4307822769,42973.4283369,16,20,20
2743,0.5769877997,2011,0.4230122003,43963.5575285,16,20,20
2573,0.5570469799,2046,0.4429530201,42264.2674755,16,23,20
2895,0.5304140711,2563,0.4695859289,51368.5732392,16,23,20
1500,0.5347593583,1305,0.4652406417,26341.9488775,16,23,20
2892,0.5273522976,2592,0.4726477024,46279.230667,16,5,20
1470,0.5316455696,1295,0.4683544304,23560.492004,16,5,20
283,0.6535796767,150,0.3464203233,4640.38302345,16,5,20
288,0.6274509804,171,0.3725490196,4620.99571868,16,5,20
350,0.8158508159,79,0.1841491841,5628.13889346,16,5,20
3185,0.2073027857,12179,0.7926972143,50960,8,28,20
2941,0.1925494304,12333,0.8074505696,47063.3531783,8,28,20
2907,0.1905230043,12351,0.8094769957,46519.2681705,8,28,20
2181,0.2215562779,7663,0.7784437221,34977.9743808,8,6,20
1329,0.7195452084,518,0.2804547916,21270.6466517,8,6,20
1313,0.7178786222,516,0.2821213778,21014.5666318,8,6,20
1270,0.7001102536,544,0.2998897464,20329.5288568,8,6,20
1866,0.5697709924,1409,0.4302290076,29860.6654304,8,9,20
2300,0.5393996248,1964,0.4606003752,36811.5028584,8,9,20
2558,0.5919925943,1763,0.4080074057,40940.7931791,8,12,20
2498,0.5894289759,1740,0.4105710241,41283.9472874,8,12,20
1153,0.5464454976,957,0.4535545024,53207.4567043,8,15,20
1000,0.5293806247,889,0.4706193753,19136.6335542,8,15,20
1000,0.5387931034,856,0.4612068966,26514.7126163,8,15,20
1000,0.4816955684,1076,0.5183044316,28024.0547276,8,18,20
1000,0.462962963,1160,0.537037037,21445.0373878,8,18,20
1247,0.4352530541,1618,0.5647469459,19961.3562869,8,18,20
1253,0.4090760692,1810,0.5909239308,24726.7501699,8,18,20
1047,0.3982502853,1582,0.6017497147,16754.6177415,8,21,20
1460,0.3926842388,2258,0.6073157612,23363.6503367,8,21,20
1076,0.3925574608,1665,0.6074425392,17218.6902482,8,24,20
1417,0.2965676015,3361,0.7034323985,30885.6913371,8,24,20
1000,0.3124023743,2201,0.6875976257,21681.1310526,8,26,20
1000,0.3071253071,2256,0.6928746929,17018.4479124,8,26,20
500,0.2826455625,1269,0.7173544375,51613.2228948,8,26,20
1000,0.2828054299,2536,0.7171945701,17338.3034158,8,26,20
1680,0.2519496101,4988,0.7480503899,26888.4020879,8,26,20
2091,0.252505736,6190,0.747494264,33461.2279823,8,26,20
1229,0.2805295595,3152,0.7194704405,21062.7141887,8,3,20
1892,0.2862762899,4717,0.7137237101,30281.4623514,8,3,20
686,0.769058296,206,0.230941704,10988.0314549,8,3,20
740,0.78891258,198,0.21108742,11854.8327668,8,3,20
663,0.7466216216,225,0.2533783784,10614.6337215,8,3,20
1782,0.7644787645,549,0.2355212355,28512,64,28,20
1747,0.7475395807,590,0.2524604193,28013.2751175,64,28,20
1598,0.7055187638,667,0.2944812362,25648.1453245,64,28,20
974,0.6773296245,464,0.3226703755,15743.9089944,64,28,20
69,0.3415841584,133,0.6584158416,1115.32825525,64,6,20
154,0.660944206,79,0.339055794,2488.49455048,64,6,20
255,0.9586466165,11,0.0413533835,4120.55915826,64,6,20
332,0.7460674157,113,0.2539325843,5326.9811757,64,9,20
349,0.6403669725,196,0.3596330275,5629.73869947,64,9,20
277,0.5073260073,269,0.4926739927,4469.00659227,64,9,20
185,0.3830227743,298,0.6169772257,3143.18507779,64,9,20
415,0.5417754569,351,0.4582245431,6698.61772813,64,12,20
398,0.535666218,345,0.464333782,6371.98223402,64,12,20
623,0.7551515152,202,0.2448484848,9972.67439194,64,12,20
557,0.6988707654,240,0.3011292346,8920.36230444,64,12,20
738,0.7249508841,280,0.2750491159,11813.5372412,64,15,20
862,0.8071161049,206,0.1928838951,13809.2604708,64,15,20
696,0.6803519062,327,0.3196480938,11149.9365287,64,15,20
539,0.5284313725,481,0.4715686275,8640.19933693,64,18,20
639,0.5410668925,542,0.4589331075,10238.3968241,64,18,20
853,0.6879032258,387,0.3120967742,13667.2182957,64,18,20
792,0.6875,360,0.3125,13297.3867361,64,18,20
1052,0.6778350515,500,0.3221649485,16890.077545,64,21,20
920,0.6104844061,587,0.3895155939,14766.1601981,64,21,20
976,0.6395806029,550,0.3604193971,15682.1750148,64,21,20
1011,0.6717607973,494,0.3282392027,16183.5855702,64,21,20
1246,0.6585623679,646,0.3414376321,19945.3487839,64,24,20
1111,0.5976331361,748,0.4023668639,17803.8166832,64,24,20
991,0.548119469,817,0.451880531,15865.9155626,64,24,20
866,0.5046620047,850,0.4953379953,13858.1651997,64,26,20
970,0.5083857442,938,0.4916142558,15524.8512055,64,26,20
1042,0.5412987013,883,0.4587012987,16698.0890944,64,26,20
1112,0.5828092243,796,0.4171907757,18149.3150021,64,26,20
30,0.306122449,68,0.693877551,494.606032693,64,3,20
118,0.9076923077,12,0.0923076923,1906.7710166,64,3,20
132,1,0,0,2132.32515277,64,3,20
101,1,0,0,1616,256,4,0
100,1,0,0,1665.58237254,256,4,0
100,1,0,0,1665.58237254,256,4,0
100,1,0,0,1665.58237254,256,4,0
100,1,0,0,1665.58237254,256,4,0
100,1,0,0,1665.58237254,256,4,0
100,1,0,0,1665.31151942,256,4,0
100,1,0,0,1665.31151942,256,4,0
85,0.85,15,0.15,1415.74501666,256,4,0
98,0.98,2,0.02,1632.27072509,256,4,0
100,1,0,0,1665.58237254,256,4,0
