NumOfReceived,PRR,packetLoss,PLR,throughput,IPI,Density,COR
2197,0.5569074778,1748,0.4430925222,70304,16,27,20
1710,0.446941976,2116,0.553058024,54737.1042503,16,27,20
1702,0.4543513081,2044,0.5456486919,54481.0242305,16,27,20
1597,0.4507479537,1946,0.5492520463,51119.9739695,16,8,20
921,0.4713408393,1033,0.5286591607,29536.6071931,16,8,20
374,0.4468339307,463,0.5531660693,51823.4151769,16,8,20
966,0.4565217391,1150,0.5434782609,30921.7415855,16,8,20
356,0.6742424242,172,0.3257575758,11427.7386528,16,11,20
483,0.7208955224,187,0.2791044776,15485.0722941,16,11,20
403,0.6143292683,253,0.3856707317,12904.0645242,16,11,20
425,0.6259204713,254,0.3740795287,13608.5047711,16,11,20
464,0.6813509545,217,0.3186490455,14861.9321697,16,11,20
462,0.6676300578,230,0.3323699422,14797.8721172,16,11,20
479,0.6952104499,210,0.3047895501,15390.5199859,16,11,20
542,0.7188328912,212,0.2811671088,17349.4213472,16,11,20
721,0.6542649728,381,0.3457350272,23137.0688414,16,11,20
773,0.6932735426,342,0.3067264574,24813.5373415,16,11,20
737,0.6730593607,358,0.3269406393,23643.103977,16,11,20
802,0.7310847767,295,0.2689152233,25744.4462456,16,14,20
825,0.7224168126,317,0.2775831874,26474.4546383,16,14,20
729,0.6567567568,381,0.3432432432,23335.291812,16,14,20
629,0.6464542652,344,0.3535457348,20165.808471,16,14,20
810,0.62403698,488,0.37596302,25952.4384719,16,14,20
837,0.6331316188,485,0.3668683812,26825.9128062,16,14,20
889,0.6734848485,431,0.3265151515,28483.6022241,16,14,20
895,0.6795747912,422,0.3204252088,28684.8171583,16,14,20
938,0.7127659574,378,0.2872340426,30025.3823315,16,17,20
963,0.7128053294,388,0.2871946706,30844.9152574,16,17,20
951,0.7086438152,391,0.2913561848,30451.0306761,16,17,20
908,0.6579710145,472,0.3420289855,29074.1701934,16,17,20
1196,0.6655537006,601,0.3344462994,38283.9629727,16,17,20
1231,0.6982416336,532,0.3017583664,39416.6338195,16,17,20
1320,0.7449209932,452,0.2550790068,42253.203281,16,17,20
1182,0.6800920598,556,0.3199079402,37859.4910012,16,17,20
1158,0.6549773756,610,0.3450226244,37102.3750006,16,20,20
1178,0.6584684181,611,0.3415315819,37778.6354761,16,20,20
1055,0.6298507463,620,0.3701492537,33770.5526223,16,20,20
1311,0.5650862069,1009,0.4349137931,41991.3643846,16,20,20
1336,0.5687526607,1013,0.4312473393,42792.1150403,16,20,20
1353,0.5663457514,1036,0.4336542486,43323.0751891,16,20,20
1394,0.5842414082,992,0.4157585918,44677.8046019,16,20,20
1347,0.5724606885,1006,0.4275393115,43157.9439773,16,23,20
1333,0.5607909129,1044,0.4392090871,42736.1251062,16,23,20
1224,0.5530953457,989,0.4469046543,41932.9945691,16,23,20
1541,0.5126413839,1465,0.4873586161,49327.4138303,16,23,20
1354,0.5522022839,1098,0.4477977162,53970.2729026,16,23,20
835,0.533887468,729,0.466112532,26736.7093739,16,23,20
665,0.5358581789,576,0.4641418211,25882.1381915,16,23,20
1344,0.5268522148,1207,0.4731477852,43034.895088,16,5,20
1548,0.5277872486,1385,0.4722127514,49551.4838477,16,5,20
1318,0.5122425185,1255,0.4877574815,46943.6496337,16,5,20
165,0.7971014493,42,0.2028985507,5333.32988552,16,5,20
187,0.7991452991,47,0.2008547009,6106.11447365,16,5,20
94,0.441314554,119,0.558685446,3025.01461822,16,5,20
112,0.5283018868,100,0.4716981132,3596.36170215,16,5,20
177,0.75,59,0.25,5685.3185802,16,5,20
172,0.86,28,0.14,5528.18425824,16,5,20
175,0.7675438596,53,0.2324561404,5628.13889346,16,5,20
