NumOfReceived,PRR,packetLoss,PLR,throughput,IPI,Density,COR
2548,0.535406598,2211,0.464593402,67928.9779608,16,27,20
2020,0.4476950355,2492,0.5523049645,53880.6972002,16,27,20
2000,0.4547521601,2398,0.5452478399,53347.2249507,16,8,20
1433,0.4664713542,1639,0.5335286458,52821.995772,16,8,20
591,0.46171875,689,0.53828125,15764.1049729,16,8,20
909,0.4471224791,1124,0.5528775209,29805.2184708,16,8,20
597,0.7298288509,221,0.2701711491,15978.2503093,16,11,20
522,0.6525,278,0.3475,13967.2820432,16,11,20
486,0.6113207547,309,0.3886792453,12963.375663,16,11,20
560,0.6829268293,260,0.3170731707,14937.2229862,16,11,20
552,0.6674727932,275,0.3325272068,14731.5082542,16,11,20
589,0.7427490542,204,0.2572509458,16647.4307347,16,11,20
869,0.6593323217,449,0.3406676783,23252.04616,16,11,20
924,0.6849518162,425,0.3150481838,24646.4179272,16,11,20
899,0.6857360793,412,0.3142639207,23979.5776153,16,11,20
962,0.7200598802,374,0.2799401198,25660.0152013,16,14,20
945,0.7010385757,403,0.2989614243,25278.9917936,16,14,20
880,0.6461086637,482,0.3538913363,23478.8944749,16,14,20
853,0.6253665689,511,0.3746334311,22758.5193035,16,14,20
1021,0.6449778901,562,0.3550221099,27283.5036615,16,14,20
1073,0.6756926952,515,0.3243073048,28665.5849616,16,14,20
1063,0.6660401003,533,0.3339598997,28376.2233409,16,14,20
1163,0.7309868008,428,0.2690131992,31021.4113088,16,17,20
1158,0.7192546584,452,0.2807453416,30888.0432465,16,17,20
1136,0.6510028653,609,0.3489971347,30348.6528578,16,17,20
1465,0.6807620818,687,0.3192379182,39138.0074266,16,17,20
1506,0.7007910656,643,0.2992089344,40180.9262264,16,17,20
1495,0.7225712905,574,0.2774287095,39929.0518172,16,17,20
1391,0.6579943236,723,0.3420056764,37102.9949532,16,20,20
1437,0.6652777778,723,0.3347222222,38359.9557299,16,20,20
1350,0.6018724922,893,0.3981275078,36037.5366982,16,20,20
1574,0.5585521647,1244,0.4414478353,41995.2044358,16,20,20
1601,0.5633356791,1241,0.4366643209,42715.5796072,16,20,20
1678,0.5852807813,1189,0.4147192187,44816.6882604,16,20,20
1632,0.5730337079,1216,0.4269662921,43599.4731196,16,23,20
1560,0.5520169851,1266,0.4479830149,41610.8354616,16,23,20
1504,0.5346605048,1309,0.4653394952,40148.485329,16,23,20
1937,0.533021464,1697,0.466978536,51707.191544,16,23,20
618,0.5498220641,506,0.4501779359,24700.7038102,16,23,20
1000,0.5316321106,881,0.4683678894,30927.2021598,16,23,20
1656,0.5250475587,1498,0.4749524413,44183.0105119,16,5,20
1796,0.5210327821,1651,0.4789672179,47905.8080057,16,5,20
844,0.5403329065,718,0.4596670935,22636.3457643,16,5,20
220,0.7971014493,56,0.2028985507,5885.05629056,16,5,20
129,0.5308641975,114,0.4691358025,3584.69302731,16,5,20
144,0.5333333333,126,0.4666666667,3853.04332225,16,5,20
211,0.778597786,60,0.221402214,5628.1322323,16,5,20
201,0.8204081633,44,0.1795918367,5405.03910989,16,5,20
2056,0.2221741949,7198,0.7778258051,54812.3935194,8,28,20
1693,0.184583515,7479,0.815416485,45170.1913023,8,28,20
1770,0.1923076923,7434,0.8076923077,47212.2940814,8,28,20
1775,0.195162177,7320,0.804837823,47370.3390422,8,28,20
1740,0.189501198,7442,0.810498802,46412.0857071,8,28,20
1745,0.1908563929,7398,0.8091436071,46557.5805213,8,6,20
707,0.6663524976,354,0.3336475024,18872.9914412,8,6,20
800,0.7181328546,314,0.2818671454,21344.4495226,8,6,20
747,0.6935933148,330,0.3064066852,19930.3797418,8,6,20
822,0.7372197309,293,0.2627802691,21937.1372917,8,6,20
784,0.7179487179,308,0.2820512821,20950.3103532,8,6,20
728,0.6709677419,357,0.3290322581,19418.3898821,8,6,20
1154,0.5667976424,882,0.4332023576,30781.3487966,8,9,20
1403,0.5412808642,1189,0.4587191358,37442.5834795,8,9,20
1368,0.5366810514,1181,0.4633189486,36499.0086837,8,9,20
1513,0.5871168025,1064,0.4128831975,40367.6901597,8,9,20
1553,0.5916190476,1072,0.4083809524,41424.1201742,8,12,20
1554,0.5933562428,1065,0.4066437572,41461.5931977,8,12,20
1589,0.5579353933,1259,0.4420646067,43068.7617582,8,15,20
500,0.550660793,408,0.449339207,53002.3162012,8,15,20
500,0.5096839959,481,0.4903160041,48715.5891347,8,15,20
985,0.5400219298,839,0.4599780702,26280.3534748,8,15,20
15,0.46875,17,0.53125,73119.0133808,8,18,20
1000,0.4816955684,1076,0.5183044316,28024.0547276,8,18,20
541,0.4592529711,637,0.5407470289,14434.1839897,8,18,20
921,0.4572989076,1093,0.5427010924,24592.0188085,8,18,20
538,0.4324758842,706,0.5675241158,15371.4285714,8,18,20
961,0.4246575342,1302,0.5753424658,25640.0199891,8,18,20
539,0.3880489561,850,0.6119510439,28806.6767356,8,18,20
543,0.3917748918,843,0.6082251082,14483.7715741,8,21,20
957,0.3890243902,1503,0.6109756098,28055.2151259,8,21,20
1000,0.4046944557,1471,0.5953055443,31459.2482404,8,21,20
518,0.3912386707,806,0.6087613293,13831.3417403,8,24,20
1179,0.3296979866,2397,0.6703020134,31456.382484,8,24,20
803,0.3031332578,1846,0.6968667422,23979.981046,8,24,20
527,0.3020057307,1218,0.6979942693,14064.3203804,8,26,20
473,0.3248626374,983,0.6751373626,54852.9494477,8,26,20
500,0.3028467595,1151,0.6971532405,52621.0270467,8,26,20
500,0.3115264798,1105,0.6884735202,52566.5624097,8,26,20
500,0.2826455625,1269,0.7173544375,51613.2228948,8,26,20
500,0.296735905,1185,0.703264095,54122.8046437,8,26,20
500,0.2701242572,1351,0.7298757428,49183.5288297,8,26,20
1000,0.2427773731,3119,0.7572226269,28715.7044752,8,26,20
1448,0.2597309417,4127,0.7402690583,38623.3908643,8,26,20
1052,0.2473548084,3201,0.7526451916,39358.641214,8,3,20
941,0.2759530792,2469,0.7240469208,25132.6005084,8,3,20
662,0.2788542544,1712,0.7211457456,17657.9314587,8,3,20
1397,0.2765241489,3655,0.7234758511,39375.8879481,8,3,20
546,0.3976693372,827,0.6023306628,14582.8153006,8,3,20
418,0.7886792453,112,0.2113207547,11167.0457807,8,3,20
442,0.8080438757,105,0.1919561243,11808.2158734,8,3,20
438,0.7590987868,139,0.2409012132,11689.1565059,8,3,20
377,0.7208413002,146,0.2791586998,10084.8680434,8,3,20
423,0.7921348315,111,0.2078651685,11333.1448941,8,3,20
1124,0.7921071177,295,0.2078928823,29973.3333333,64,28,20
1016,0.7362318841,364,0.2637681159,27164.0685679,64,28,20
1072,0.7673586256,325,0.2326413744,28668.785536,64,28,20
968,0.6879886283,439,0.3120113717,25873.9715731,64,28,20
947,0.7120300752,383,0.2879699248,25385.5412321,64,28,20
911,0.6698529412,449,0.3301470588,24318.6636534,64,28,20
75,0.6578947368,39,0.3421052632,2035.51761109,64,6,20
44,0.3464566929,83,0.6535433071,1302.57307028,64,6,20
45,0.3488372093,84,0.6511627907,1239.70954983,64,6,20
133,0.8525641026,23,0.1474358974,3550.36472657,64,6,20
154,0.9685534591,5,0.0314465409,4175.17007379,64,6,20
152,0.9620253165,6,0.0379746835,4115.49932243,64,6,20
214,0.7086092715,88,0.2913907285,5739.54738573,64,9,20
237,0.7095808383,97,0.2904191617,6401.6829133,64,9,20
185,0.5817610063,133,0.4182389937,5002.37207076,64,9,20
173,0.5148809524,163,0.4851190476,4676.65903804,64,9,20
135,0.435483871,175,0.564516129,3653.27349542,64,9,20
110,0.3525641026,202,0.6474358974,2934.09737229,64,9,20
213,0.5532467532,172,0.4467532468,5697.81669294,64,12,20
244,0.5374449339,210,0.4625550661,6508.36144399,64,12,20
234,0.5211581292,215,0.4788418708,6241.62531923,64,12,20
303,0.6365546218,173,0.3634453782,8082.10458003,64,12,20
371,0.7602459016,117,0.2397540984,9901.06804769,64,12,20
358,0.7381443299,127,0.2618556701,9680.26595314,64,12,20
336,0.6733466934,163,0.3266533066,8962.33379172,64,15,20
456,0.7537190083,149,0.2462809917,12175.8529606,64,15,20
453,0.7426229508,157,0.2573770492,12102.0596343,64,15,20
529,0.8201550388,116,0.1798449612,14136.1150215,64,15,20
448,0.7225806452,172,0.2774193548,11971.6059161,64,15,20
407,0.6639477977,206,0.3360522023,10870.3171168,64,15,20
311,0.5563506261,248,0.4436493739,8325.85411952,64,15,20
334,0.4751066856,369,0.5248933144,8911.3076757,64,18,20
400,0.5555555556,320,0.4444444444,10672.2247613,64,18,20
479,0.6552667579,252,0.3447332421,12789.985895,64,18,20
524,0.6931216931,232,0.3068783069,13984.2578356,64,18,20
497,0.6789617486,235,0.3210382514,13263.6949318,64,18,20
440,0.6537890045,233,0.3462109955,11776.2648846,64,18,20
650,0.6996770721,279,0.3003229279,17337.848109,64,21,20
615,0.6713973799,301,0.3286026201,16408.5455705,64,21,20
520,0.5720572057,389,0.4279427943,13870.2784872,64,21,20
588,0.6370530878,335,0.3629469122,15684.0841355,64,21,20
586,0.6460859978,321,0.3539140022,15651.1199765,64,21,20
532,0.6576019778,277,0.3423980223,14190.3618369,64,21,20
775,0.6907308378,347,0.3092691622,20763.9916483,64,24,20
753,0.6446917808,415,0.3553082192,20085.2301939,64,24,20
687,0.6139410188,432,0.3860589812,18329.5460276,64,24,20
640,0.5871559633,450,0.4128440367,17075.5596181,64,24,20
594,0.5414767548,503,0.4585232452,15844.1258104,64,24,20
423,0.4628008753,491,0.5371991247,11291.7614988,64,24,20
617,0.5402802102,525,0.4597197898,16457.6188973,64,26,20
556,0.486013986,588,0.513986014,14931.6801779,64,26,20
626,0.5486415425,515,0.4513584575,16697.6814096,64,26,20
620,0.5317324185,546,0.4682675815,16541.94838,64,26,20
678,0.5711878686,509,0.4288121314,18155.6436738,64,26,20
639,0.5830291971,457,0.4169708029,18060.6251944,64,26,20
19,0.3392857143,37,0.6607142857,552.099284886,64,3,20
25,0.3676470588,43,0.6323529412,677.965366275,64,3,20
78,1,0,0,2115.25194278,64,3,20
77,1,0,0,2088.13332813,64,3,20
79,1,0,0,2142.37055743,64,3,20
61,1,0,0,1626.66666667,256,4,0
60,1,0,0,1712.37470412,256,4,0
60,1,0,0,1712.37470412,256,4,0
60,1,0,0,1712.37470412,256,4,0
60,1,0,0,1712.37470412,256,4,0
60,1,0,0,1712.37470412,256,4,0
60,1,0,0,1712.37470412,256,4,0
60,1,0,0,1712.37470412,256,4,0
60,1,0,0,1712.37470412,256,4,0
60,1,0,0,1712.37470412,256,4,0
60,1,0,0,1711.89761711,256,4,0
60,1,0,0,1711.89761711,256,4,0
60,1,0,0,1711.89761711,256,4,0
50,1,0,0,1427.77473027,256,4,0
55,0.7857142857,15,0.2142857143,1569.67681211,256,4,0
58,0.9666666667,2,0.0333333333,1654.83436321,256,4,0
60,1,0,0,1712.37470412,256,4,0
60,1,0,0,1712.37470412,256,4,0
60,1,0,0,1712.37470412,256,4,0
60,1,0,0,1712.37470412,256,4,0
120,1,0,0,3306.77442342,128,4,0
120,1,0,0,3307.67177256,128,4,0
120,1,0,0,3307.67177256,128,4,0
120,1,0,0,3307.67177256,128,4,0
120,1,0,0,3307.67177256,128,4,0
120,1,0,0,3307.67177256,128,4,0
120,1,0,0,3307.67177256,128,4,0
120,1,0,0,3307.67177256,128,4,0
120,1,0,0,3307.67177256,128,4,0
121,1,0,0,3227.50710952,128,4,0
120,1,0,0,3201.6674284,128,4,0
120,1,0,0,3201.6674284,128,4,0
120,1,0,0,3201.6674284,128,4,0
120,1,0,0,3201.6674284,128,4,0
120,1,0,0,3201.6674284,128,4,0
120,1,0,0,3201.6674284,128,4,0
120,1,0,0,3201.6674284,128,4,0
120,1,0,0,3201.6674284,128,4,0
120,1,0,0,3201.6674284,128,4,0
119,1,0,0,3279.21796989,128,4,0
240,1,0,0,6501.58069681,64,4,0
240,1,0,0,6501.58069681,64,4,0
240,1,0,0,6501.58069681,64,4,0
240,1,0,0,6501.58069681,64,4,0
240,1,0,0,6501.58069681,64,4,0
240,1,0,0,6501.58069681,64,4,0
241,1,0,0,6526.94402387,64,4,0
240,1,0,0,6501.58069681,64,4,0
232,0.9666666667,8,0.0333333333,6279.87763442,64,4,0
205,0.8686440678,31,0.1313559322,5553.43351186,64,4,0
189,0.7745901639,55,0.2254098361,5115.934797,64,4,0
235,0.9751037344,6,0.0248962656,6362.76477563,64,4,0
235,0.9832635983,4,0.0167364017,6366.13109896,64,4,0
238,0.9875518672,3,0.0124481328,6445.69575801,64,4,0
239,0.9958333333,1,0.0041666667,6474.49077724,64,4,0
239,0.9958333333,1,0.0041666667,6467.64715115,64,4,0
238,0.9916666667,2,0.0083333333,6442.2882629,64,4,0
237,0.9875,3,0.0125,6415.21982482,64,4,0
237,0.9875,3,0.0125,6411.83023259,64,4,0
258,0.9923076923,2,0.0076923077,6985.50345579,64,4,0
443,0.9229166667,37,0.0770833333,11900.0993376,32,4,0
445,0.9270833333,35,0.0729166667,11953.8243911,32,4,0
481,0.9958592133,2,0.0041407867,12914.1002913,32,4,0
461,0.9544513458,22,0.0455486542,12383.6248186,32,4,0
406,0.8371134021,79,0.1628865979,10900.4671897,32,4,0
360,0.8695652174,54,0.1304347826,9680.6670625,32,4,0
320,0.8815426997,43,0.1184573003,8598.26398363,32,4,0
379,0.9973684211,1,0.0026315789,10183.5689056,32,4,0
368,0.9919137466,3,0.0080862534,9815.88939093,32,4,0
360,1,0,0,9607.50538321,32,4,0
361,1,0,0,9629.1741036,32,4,0
353,0.9644808743,13,0.0355191257,9415.7852038,32,4,0
337,0.9207650273,29,0.0792349727,9052.67150514,32,4,0
333,0.9123287671,32,0.0876712329,8940.53097089,32,4,0
334,0.912568306,32,0.087431694,8969.73105175,32,4,0
331,0.91184573,32,0.08815427,8891.49634482,32,4,0
337,0.9258241758,27,0.0741758242,9052.67150514,32,4,0
336,0.9230769231,28,0.0769230769,9025.80897842,32,4,0
339,0.9137466307,32,0.0862533693,9104.0084627,32,4,0
342,0.9447513812,20,0.0552486188,9267.20397482,32,4,0
696,0.9508196721,36,0.0491803279,18623.0427242,16,4,0
700,0.956284153,32,0.043715847,18730.0717054,16,4,0
705,0.9527027027,35,0.0472972973,18863.8579319,16,4,0
710,0.9607577808,29,0.0392422192,18997.6441583,16,4,0
699,0.9628099174,27,0.0371900826,18703.3144601,16,4,0
693,0.959833795,29,0.040166205,18542.7709883,16,4,0
714,0.9889196676,8,0.0110803324,19104.6731395,16,4,0
720,1,0,0,19260.1842237,16,4,0
720,1,0,0,19260.1842237,16,4,0
720,1,0,0,19260.1842237,16,4,0
720,1,0,0,19260.1842237,16,4,0
720,1,0,0,19260.1842237,16,4,0
720,1,0,0,19260.1842237,16,4,0
720,1,0,0,19260.1842237,16,4,0
720,1,0,0,19260.1842237,16,4,0
720,1,0,0,19260.1842237,16,4,0
699,0.9708333333,21,0.0291666667,18683.787324,16,4,0
624,0.8666666667,96,0.1333333333,16679.0891132,16,4,0
666,0.925,54,0.075,17815.6704069,16,4,0
720,1,0,0,19260.1842237,16,4,0
1275,1,0,0,34044.3257121,8,4,0
1440,1,0,0,38460.0900447,8,4,0
1440,1,0,0,38460.0900447,8,4,0
1440,1,0,0,38460.0900447,8,4,0
1440,1,0,0,38460.0900447,8,4,0
1440,1,0,0,38460.0900447,8,4,0
1441,1,0,0,38436.675577,8,4,0
1266,1,0,0,38422.7025364,8,4,0
1156,1,0,0,30866.8553123,8,4,0
1440,1,0,0,38450.0619807,8,4,0
1075,1,0,0,28689.0785748,8,4,0
1387,0.9631944444,53,0.0368055556,37015.5832403,8,4,0
1309,0.9128312413,125,0.0871687587,34979.5360361,8,4,0
1337,0.9246196404,109,0.0753803596,35681.2074926,8,4,0
1437,0.9958419958,6,0.0041580042,38349.958988,8,4,0
1439,0.9890034364,16,0.0109965636,38383.328352,8,4,0
1440,0.9931034483,10,0.0068965517,38420.0091408,8,4,0
1444,0.9951757409,7,0.0048242591,38526.7313884,2,4,0
1446,0.9979296066,3,0.0020703934,38580.0925122,2,4,0
1654,0.6524654832,881,0.3475345168,44118.1550342,2,4,0
1548,0.5034146341,1527,0.4965853659,41290.7521118,2,4,0
1936,0.5282401091,1729,0.4717598909,51640.1137523,2,4,0
1729,0.5136660725,1637,0.4863339275,46118.6759699,2,4,0
1723,0.5381011868,1479,0.4618988132,47099.6536276,2,4,0
2028,0.5507876154,1654,0.4492123846,54094.0861,2,4,0
1472,0.5437753971,1235,0.4562246029,44954.6292656,2,4,0
1615,0.5122105931,1538,0.4877894069,43077.8841477,2,4,0
1376,0.4741557547,1526,0.5258442453,36722.0205758,2,4,0
1186,0.4427025009,1493,0.5572974991,31634.9043958,2,4,0
1748,0.4552083333,2092,0.5447916667,46637.622207,2,4,0
2176,0.4965769055,2206,0.5034230945,58041.7807464,2,4,0
2868,0.5154565061,2696,0.4845434939,76499.9205793,2,4,0
2401,0.5138026963,2272,0.4861973037,64043.3435533,2,4,0
2291,0.5110417131,2192,0.4889582869,61109.246181,2,4,0
2174,0.5246138996,1970,0.4753861004,57988.4335214,2,4,0
2125,0.5483870968,1750,0.4516129032,56681.4265101,2,4,0
1540,0.560815732,1206,0.439184268,42334.5060999,2,4,0
2033,0.5418443497,1719,0.4581556503,54241.5823494,256,7,0
2031,0.5549180328,1629,0.4450819672,54188.2212256,256,7,0
885,0.5705996132,666,0.4294003868,25068.8934265,256,7,0
75,1,0,0,2136.30083559,256,7,0
80,1,0,0,-15.006279082,256,7,0
75,1,0,0,2136.30083559,256,7,0
75,1,0,0,2136.30083559,256,7,0
76,1,0,0,2027.19454813,256,7,0
75,1,0,0,2001.04214275,256,7,0
75,1,0,0,2001.04214275,256,7,0
75,1,0,0,2001.04214275,256,7,0
75,1,0,0,2001.04214275,256,7,0
75,1,0,0,2001.04214275,256,7,0
75,1,0,0,2001.04214275,256,7,0
75,1,0,0,2001.04214275,256,7,0
75,1,0,0,2001.04214275,256,7,0
75,1,0,0,2001.04214275,256,7,0
75,1,0,0,2001.04214275,256,7,0
75,1,0,0,2001.04214275,256,7,0
75,1,0,0,2001.04214275,256,7,0
75,1,0,0,2001.04214275,256,7,0
75,1,0,0,2001.04214275,256,7,0
109,1,0,0,2927.2475588,128,7,0
150,1,0,0,4129.02373363,128,7,0
150,1,0,0,4129.02373363,128,7,0
150,1,0,0,4129.02373363,128,7,0
150,1,0,0,4129.02373363,128,7,0
150,1,0,0,4129.02373363,128,7,0
150,1,0,0,4129.02373363,128,7,0
150,1,0,0,4129.02373363,128,7,0
150,1,0,0,4129.02373363,128,7,0
150,1,0,0,4129.02373363,128,7,0
150,1,0,0,4129.02373363,128,7,0
150,1,0,0,4129.02373363,128,7,0
150,1,0,0,4129.02373363,128,7,0
150,1,0,0,4129.02373363,128,7,0
150,1,0,0,4129.02373363,128,7,0
136,0.8947368421,16,0.1052631579,3743.64818516,128,7,0
135,0.8544303797,23,0.1455696203,3716.12136027,128,7,0
139,0.8853503185,18,0.1146496815,3826.22865983,128,7,0
146,0.9125,14,0.0875,4018.91643406,128,7,0
