NumOfReceived,PRR,packetLoss,PLR,throughput,IPI,Density,COR
3217,0.5120165526,3066,0.4879834474,64302.3252676,16,27,20
2713,0.4555070517,3243,0.5444929483,54344.908485,16,27,20
2071,0.4599156118,2432,0.5400843882,52234.1644224,16,8,20
1000,0.4625346901,1162,0.5374653099,22178.9068172,16,8,20
974,0.5426183844,821,0.4573816156,19487.6118612,16,11,20
701,0.6527001862,373,0.3472998138,14039.1929807,16,11,20
689,0.647556391,375,0.352443609,13825.9033818,16,11,20
735,0.666969147,367,0.333030853,14746.0785462,16,11,20
746,0.7242718447,284,0.2757281553,14937.5037669,16,11,20
1167,0.6593220339,603,0.3406779661,23376.5234803,16,11,20
1215,0.6868287168,554,0.3131712832,24347.5507666,16,11,20
1288,0.7223780146,495,0.2776219854,25800.310405,16,14,20
1223,0.6775623269,582,0.3224376731,24517.4591172,16,14,20
1115,0.6367789834,636,0.3632210166,22308.7137836,16,14,20
1347,0.6399049881,758,0.3600950119,26966.3326238,16,14,20
1436,0.6789598109,679,0.3210401891,28748.0724928,16,14,20
1501,0.7056887635,626,0.2943112365,30031.7303939,16,17,20
1521,0.7110799439,618,0.2889200561,30425.9421865,16,17,20
1644,0.6578631453,855,0.3421368547,32886.4227184,16,17,20
1977,0.6956368754,865,0.3043631246,39617.3727289,16,17,20
2006,0.7177101968,789,0.2822898032,40127.8369666,16,17,20
1863,0.6573747354,971,0.3426252646,37274.5594429,16,20,20
1778,0.6338680927,1027,0.3661319073,35573.8951635,16,20,20
2112,0.567132116,1612,0.432867884,42248.2510834,16,20,20
2170,0.5719557196,1624,0.4280442804,43408.4776757,16,20,20
2186,0.5713538944,1640,0.4286461056,43728.5401839,16,20,20
2115,0.5592279217,1667,0.4407720783,42316.5288362,16,23,20
2118,0.5266036798,1904,0.4733963202,42393.1175034,16,23,20
1873,0.5489449004,1539,0.4510550996,38652.7863335,16,23,20
1453,0.5239812477,1320,0.4760187523,29077.0362355,16,23,20
2276,0.5278293135,2036,0.4721706865,45537.7870596,16,5,20
1549,0.5268707483,1391,0.4731292517,31064.9377528,16,5,20
284,0.802259887,70,0.197740113,5863.22338551,16,5,20
