NumOfReceived,PRR,packetLoss,PLR,throughput,IPI,Density,COR
4567,0.4926645092,4703,0.5073354908,60893.3333333,16,27,20
3434,0.4593365436,4042,0.5406634564,53086.0395774,16,8,20
1500,0.4527618473,1813,0.5472381527,22059.4674712,16,8,20
1119,0.6915945612,499,0.3084054388,14945.2964087,16,11,20
1046,0.6476780186,569,0.3523219814,13948.4827591,16,11,20
1141,0.7043209877,479,0.2956790123,15624.2746728,16,11,20
1793,0.6722909636,874,0.3277090364,23909.77972,16,11,20
1861,0.703060068,786,0.296939932,24816.56445,16,11,20
1825,0.6734317343,885,0.3265682657,24339.6713838,16,14,20
1872,0.6356536503,1073,0.3643463497,24979.5139963,16,14,20
2137,0.6709576138,1048,0.3290423862,28500.7549299,16,14,20
2319,0.7249140356,880,0.2750859644,30924.0263082,16,17,20
2599,0.6672657253,1296,0.3327342747,34675.907349,16,17,20
3001,0.7118121442,1215,0.2881878558,40018.5437477,16,17,20
2827,0.6617509363,1445,0.3382490637,37698.2416444,16,20,20
2923,0.5776679842,2137,0.4223320158,38983.4846327,16,20,20
3282,0.5744792578,2431,0.4255207422,43765.6982939,16,20,20
3187,0.5625772286,2478,0.4374227714,42509.937715,16,23,20
3437,0.533944384,3000,0.466055616,45832.6340756,16,23,20
1631,0.5382838284,1399,0.4617161716,22517.7821103,16,23,20
3452,0.522951068,3149,0.477048932,46032.660119,16,5,20
1064,0.5788900979,774,0.4211099021,14190.3618369,16,5,20
268,0.5285996055,239,0.4714003945,3580.32570944,16,5,20
415,0.8011583012,103,0.1988416988,5556.48981944,16,5,20
3749,0.2034845853,14675,0.7965154147,49973.6535273,8,28,20
3545,0.1937264331,14754,0.8062735669,47285.1362409,8,28,20
3485,0.1901773533,14840,0.8098226467,46472.7174145,8,28,20
1504,0.6927683095,667,0.3072316905,20071.6266138,8,6,20
1570,0.7165677773,621,0.2834322227,20941.5130883,8,6,20
1510,0.6936150666,667,0.3063849334,20143.824237,8,6,20
2556,0.5532467532,2064,0.4467532468,34084.4377938,8,9,20
2880,0.5614035088,2250,0.4385964912,38425.0146846,8,9,20
3110,0.5924938083,2139,0.4075061917,41488.2737596,8,12,20
1592,0.5582047686,1260,0.4417952314,43047.5327774,8,15,20
1000,0.5293806247,889,0.4706193753,19136.6335542,8,15,20
1000,0.5387931034,856,0.4612068966,26514.7126163,8,15,20
1152,0.4748557296,1274,0.5251442704,15366.0019604,8,18,20
1348,0.4616438356,1572,0.5383561644,18610.6500826,8,18,20
1769,0.4185001183,2458,0.5814998817,23592.8102345,8,18,20
1231,0.3969687198,1870,0.6030312802,17147.9145538,8,21,20
2000,0.3931590328,3087,0.6068409672,27493.6292106,8,21,20
2000,0.3190301483,4269,0.6809698517,28008.7566577,8,24,20
1000,0.3124023743,2201,0.6875976257,21681.1310526,8,26,20
1000,0.3071253071,2256,0.6928746929,17018.4479124,8,26,20
696,0.2913352867,1693,0.7086647133,9281.20841334,8,26,20
804,0.2757201646,2112,0.7242798354,14831.4978586,8,26,20
2097,0.2521038711,6221,0.7478961289,27970.9254435,8,26,20
1999,0.2570069427,5779,0.7429930573,26656.8040492,8,3,20
2141,0.2748042613,5650,0.7251957387,28550.3839267,8,3,20
1138,0.4232056527,1551,0.5767943473,15185.1960085,8,3,20
896,0.7964444444,229,0.2035555556,11948.2223252,8,3,20
789,0.7443396226,271,0.2556603774,10522.7401215,8,3,20
2140,0.764558771,659,0.235441229,28533.3333333,64,28,20
2040,0.727532097,764,0.272467903,27224.8126943,64,28,20
1857,0.6905912979,832,0.3094087021,24801.9798311,64,28,20
120,0.4958677686,122,0.5041322314,1612.81098776,64,6,20
176,0.6219081272,107,0.3780918728,2366.07463043,64,6,20
305,0.9651898734,11,0.0348101266,4097.6101797,64,6,20
450,0.7086614173,185,0.2913385827,6016.45017808,64,9,20
359,0.5557275542,287,0.4442724458,4819.9270553,64,9,20
241,0.3893376414,378,0.6106623586,3236.93446994,64,9,20
456,0.5467625899,378,0.4532374101,6083.96715218,64,12,20
526,0.5723612622,393,0.4276387378,7062.9994034,64,12,20
728,0.7512899897,241,0.2487100103,9780.53579334,64,12,20
788,0.7163636364,312,0.2836363636,10508.0348128,64,15,20
982,0.7793650794,278,0.2206349206,13096.7437254,64,15,20
859,0.6944219887,378,0.3055780113,11462.2876725,64,15,20
645,0.5201612903,595,0.4798387097,8622.45286727,64,18,20
876,0.5983606557,588,0.4016393443,11681.520934,64,18,20
1018,0.6883029074,461,0.3116970926,13576.86875,64,18,20
1081,0.6773182957,515,0.3226817043,14417.0875429,64,21,20
1136,0.6265857694,677,0.3734142306,15156.53357,64,21,20
1172,0.6393889798,661,0.3606110202,15638.8837627,64,21,20
1293,0.6751958225,622,0.3248041775,17251.2305511,64,24,20
1448,0.6331438566,839,0.3668561434,19329.31676,64,24,20
1242,0.5673823664,947,0.4326176336,16577.2668812,64,24,20
1040,0.5009633911,1036,0.4990366089,13873.8921897,64,26,20
1171,0.5183709606,1088,0.4816290394,15615.366454,64,26,20
1290,0.5491698595,1059,0.4508301405,17202.2397316,64,26,20
709,0.5778321108,518,0.4221678892,9631.42349043,64,26,20
95,0.6643356643,48,0.3356643357,1277.31023741,64,3,20
156,1,0,0,2097.47786354,64,3,20
121,1,0,0,1613.33333333,256,4,0
120,1,0,0,1654.28115556,256,4,0
120,1,0,0,1654.28115556,256,4,0
120,1,0,0,1654.28115556,256,4,0
120,1,0,0,1654.28115556,256,4,0
120,1,0,0,1654.05849095,256,4,0
110,1,0,0,1516.83277594,256,4,0
113,0.8692307692,17,0.1307692308,1557.57174565,256,4,0
120,1,0,0,1654.28115556,256,4,0
120,1,0,0,1654.28115556,256,4,0
