NumOfReceived,PRR,packetLoss,PLR,throughput,IPI,Density,COR
551,0.6614645858,282,0.3385354142,88160,16,27,20
535,0.6797966963,252,0.3202033037,85733.9507246,16,27,20
433,0.5645371578,334,0.4354628422,69388.4124556,16,27,20
334,0.4227848101,456,0.5772151899,53607.5127559,16,27,20
345,0.4480519481,425,0.5519480519,55286.3794392,16,27,20
353,0.4325980392,463,0.5674019608,56568.3824407,16,27,20
332,0.4414893617,420,0.5585106383,53538.2407366,16,27,20
335,0.4350649351,435,0.5649350649,53683.8756874,16,27,20
338,0.4530831099,408,0.5469168901,54334.6775004,16,27,20
355,0.4752342704,392,0.5247657296,56978.044995,16,27,20
328,0.4304461942,434,0.5695538058,52562.1230611,16,27,20
330,0.4495912807,404,0.5504087193,52882.6238114,16,27,20
349,0.4509043928,425,0.5490956072,56015.0357838,16,27,20
358,0.4704336399,403,0.5295663601,57459.5496006,16,8,20
335,0.4698457223,378,0.5301542777,53683.8756874,16,8,20
321,0.444598338,401,0.5554016621,51520.9927983,16,8,20
307,0.4379457917,394,0.5620542083,49273.9713055,16,8,20
331,0.4534246575,399,0.5465753425,53126.0081503,16,8,20
321,0.4566145092,382,0.5433854908,51520.9927983,16,8,20
319,0.455064194,382,0.544935806,51280.3613095,16,8,20
342,0.4730290456,381,0.5269709544,54891.5250374,16,8,20
337,0.4814285714,363,0.5185714286,54004.3764377,16,8,20
112,0.4666666667,128,0.5333333333,54614.6981806,16,8,20
307,0.4287709497,409,0.5712290503,49196.8651822,16,8,20
193,0.4898477157,201,0.5101522843,55670.6948597,16,8,20
333,0.4670406732,380,0.5329593268,53615.7633564,16,8,20
167,0.4926253687,172,0.5073746313,57969.3040386,16,8,20
305,0.4242002782,414,0.5757997218,48952.9682351,16,8,20
195,0.4513888889,237,0.5486111111,49303.8673195,16,11,20
98,0.7424242424,34,0.2575757576,15928.8727072,16,11,20
101,0.7651515152,31,0.2348484848,16210.6550549,16,11,20
97,0.6783216783,46,0.3216783217,15568.6489141,16,11,20
106,0.7517730496,35,0.2482269504,17013.1627309,16,11,20
101,0.7372262774,36,0.2627737226,16210.6550549,16,11,20
95,0.6934306569,42,0.3065693431,15247.6458437,16,11,20
100,0.7352941176,36,0.2647058824,16050.1535197,16,11,20
90,0.6976744186,39,0.3023255814,14445.1381677,16,11,20
81,0.6090225564,52,0.3909774436,12980.2803901,16,11,20
84,0.6363636364,48,0.3636363636,13503.2926332,16,11,20
85,0.6439393939,47,0.3560606061,13621.2818908,16,11,20
82,0.6029411765,54,0.3970588235,13181.7856658,16,11,20
75,0.5859375,53,0.4140625,12307.83369,16,11,20
77,0.5661764706,59,0.4338235294,12339.2788893,16,11,20
81,0.6694214876,40,0.3305785124,13228.6905801,16,11,20
71,0.4765100671,78,0.5234899329,11577.0559058,16,11,20
91,0.6842105263,42,0.3157894737,14582.7841419,16,11,20
96,0.7164179104,38,0.2835820896,15384.0360179,16,11,20
101,0.726618705,38,0.273381295,16185.2878938,16,11,20
95,0.6985294118,41,0.3014705882,15223.7856427,16,11,20
94,0.6962962963,41,0.3037037037,15087.1443085,16,11,20
86,0.6564885496,45,0.3435114504,13868.3394679,16,11,20
94,0.6573426573,49,0.3426573427,15327.3697907,16,11,20
93,0.6642857143,47,0.3357142857,14903.2848923,16,11,20
102,0.7034482759,43,0.2965517241,16631.8267942,16,11,20
94,0.6911764706,42,0.3088235294,15425.6157118,16,11,20
87,0.6444444444,48,0.3555555556,14322.8030549,16,11,20
87,0.6541353383,46,0.3458646617,14208.593586,16,11,20
83,0.6240601504,50,0.3759398496,13342.5391495,16,11,20
96,0.676056338,46,0.323943662,15408.1473789,16,11,20
92,0.6715328467,45,0.3284671533,14789.3205031,16,11,20
107,0.7535211268,35,0.2464788732,17173.6642661,16,11,20
98,0.7368421053,35,0.2631578947,15828.3815803,16,11,20
116,0.8,29,0.2,18824.7054786,16,11,20
100,0.7518796992,33,0.2481203008,16279.791,16,11,20
70,0.7446808511,24,0.2553191489,19013.2400055,16,11,20
152,0.6637554585,77,0.3362445415,24666.8554547,16,11,20
