NumOfReceived,PRR,packetLoss,PLR,throughput,IPI,Density,COR
1853,0.5832546427,1324,0.4167453573,74091.060032,16,27,20
1364,0.4391500322,1742,0.5608499678,54602.6555946,16,27,20
1351,0.4519906323,1638,0.5480093677,54103.3983622,16,27,20
1364,0.4589502019,1608,0.5410497981,54581.3194634,16,8,20
1276,0.4526427811,1543,0.5473572189,51079.9036207,16,8,20
793,0.4723049434,886,0.5276950566,54280.4182536,16,8,20
500,0.4504504505,610,0.5495495496,51457.1904477,16,8,20
663,0.4646110722,764,0.5353889278,26530.4476903,16,8,20
456,0.4861407249,482,0.5138592751,18290.06723,16,11,20
406,0.7355072464,146,0.2644927536,16310.1302983,16,11,20
359,0.6812144213,168,0.3187855787,14422.0117662,16,11,20
324,0.6159695817,202,0.3840304183,13031.260143,16,11,20
331,0.6029143898,218,0.3970856102,13250.3511743,16,11,20
373,0.6958955224,163,0.3041044776,14937.5037669,16,11,20
379,0.6767857143,181,0.3232142857,15177.7853288,16,11,20
351,0.6512059369,188,0.3487940631,14056.4713732,16,11,20
396,0.710951526,161,0.289048474,15858.5830877,16,11,20
399,0.7416356877,139,0.2583643123,15984.9749248,16,11,20
575,0.6594036697,297,0.3405963303,23045.0068985,16,11,20
586,0.6584269663,304,0.3415730337,23485.8679,16,11,20
621,0.7001127396,266,0.2998872604,24917.8633394,16,11,20
592,0.6734926052,287,0.3265073948,23754.2272092,16,11,20
640,0.7297605473,237,0.2702394527,25680.2456315,16,11,20
657,0.7227722772,252,0.2772277228,26341.7344889,16,14,20
625,0.6967670011,272,0.3032329989,25078.3648746,16,14,20
581,0.6405733186,326,0.3594266814,23376.9656417,16,14,20
482,0.6584699454,250,0.3415300546,19302.6188087,16,14,20
645,0.6213872832,393,0.3786127168,25830.2679079,16,14,20
652,0.6263208453,389,0.3736791547,26182.2679386,16,14,20
706,0.6604303087,363,0.3395696913,28284.1912204,16,14,20
730,0.6854460094,335,0.3145539906,29257.1391928,16,14,20
698,0.6685823755,346,0.3314176245,27974.6344611,16,14,20
727,0.6832706767,337,0.3167293233,29136.9043742,16,17,20
785,0.7412653447,274,0.2587346553,31412.2696325,16,17,20
769,0.7074517019,318,0.2925482981,30772.0195508,16,17,20
753,0.7157794677,299,0.2842205323,30297.5131294,16,17,20
902,0.6452074392,496,0.3547925608,36164.7557215,16,17,20
963,0.6668975069,481,0.3331024931,38625.6101433,16,17,20
985,0.6990773598,424,0.3009226402,39508.022836,16,17,20
1003,0.6955617198,439,0.3044382802,40245.7599507,16,17,20
1034,0.7514534884,342,0.2485465116,41489.6468485,16,17,20
957,0.67920511,452,0.32079489,38294.9580106,16,17,20
915,0.6498579545,493,0.3501420455,36614.3015462,16,20,20
936,0.6536312849,496,0.3463687151,37454.6297784,16,20,20
987,0.6849410132,454,0.3150589868,39495.4269138,16,20,20
847,0.5657982632,650,0.4342017368,33946.2971183,16,20,20
1023,0.550295858,836,0.449704142,40935.9895975,16,20,20
1091,0.5790870488,793,0.4209129512,43691.197345,16,20,20
1066,0.5604626709,836,0.4395373291,42756.9059322,16,20,20
1113,0.5833333333,795,0.4166666667,44677.0577287,16,20,20
1086,0.5697796432,820,0.4302203568,43456.9742942,16,20,20
1085,0.5686582809,823,0.4313417191,43416.9586641,16,23,20
1074,0.5703664365,809,0.4296335635,42993.5865898,16,23,20
1037,0.5504246285,847,0.4495753716,41512.4295099,16,23,20
949,0.5240198785,862,0.4759801215,37974.8329698,16,23,20
1254,0.5201161344,1157,0.4798838656,50179.6001518,16,23,20
932,0.5607701564,730,0.4392298436,54628.8738803,16,23,20
519,0.5378238342,446,0.4621761658,20776.2303912,16,23,20
632,0.5360474979,547,0.4639525021,25309.6578571,16,23,20
824,0.5162907268,772,0.4837092732,32985.7684823,16,5,20
1059,0.5389312977,906,0.4610687023,42409.6956814,16,5,20
1219,0.520717642,1122,0.479282358,48779.0530981,16,5,20
1178,0.5175746924,1098,0.4824253076,47156.8389226,16,5,20
350,0.5555555556,280,0.4444444444,14076.9785495,16,5,20
138,0.7885714286,37,0.2114285714,5548.17251037,16,5,20
147,0.7777777778,42,0.2222222222,5916.9787504,16,5,20
73,0.4451219512,91,0.5548780488,2921.14099767,16,5,20
76,0.4662576687,87,0.5337423313,3057.92617482,16,5,20
143,0.690821256,64,0.309178744,5758.23583761,16,5,20
140,0.8,35,0.2,5639.65126008,16,5,20
134,0.8322981366,27,0.1677018634,5391.58932184,16,5,20
150,0.7978723404,38,0.2021276596,6035.36118116,16,5,20
1496,0.239474948,4751,0.760525052,59700.0868764,8,28,20
1127,0.1843913613,4985,0.8156086387,45097.6151285,8,28,20
1128,0.1858932103,4940,0.8141067897,45155.2753011,8,28,20
1170,0.1904916965,4972,0.8095083035,46836.5887431,8,28,20
1208,0.1984231275,4880,0.8015768725,48376.6878028,8,28,20
1168,0.1917898194,4922,0.8082101806,46738.2559628,8,28,20
1151,0.1891536565,4934,0.8108463435,46057.990251,8,28,20
1167,0.1905306122,4958,0.8094693878,46698.2403327,8,28,20
1169,0.1910442883,4950,0.8089557117,46778.2715929,8,6,20
430,0.6466165414,235,0.3533834586,17355.9221333,8,6,20
553,0.7353723404,199,0.2646276596,22128.6434481,8,6,20
519,0.7099863201,212,0.2900136799,20776.2303912,8,6,20
488,0.6825174825,227,0.3174825175,19535.2609459,8,6,20
535,0.7259158752,202,0.2740841248,21416.7307501,8,6,20
545,0.7384823848,193,0.2615176152,21825.575209,8,6,20
520,0.7222222222,200,0.2777777778,20865.1995756,8,6,20
511,0.6952380952,224,0.3047619048,20447.9869837,8,6,20
482,0.6657458564,242,0.3342541436,19287.5337107,8,6,20
670,0.5677966102,510,0.4322033898,26810.4721704,8,9,20
955,0.551067513,778,0.448932487,38214.9267504,8,9,20
932,0.5434402332,783,0.4565597668,37323.7359538,8,9,20
909,0.535335689,789,0.464664311,36402.656633,8,9,20
943,0.5514619883,767,0.4485380117,37749.4899015,8,9,20
1029,0.5989522701,689,0.4010477299,41192.1793305,8,9,20
1045,0.5991972477,699,0.4008027523,41832.6796894,8,12,20
1029,0.5863247863,726,0.4136752137,41208.2878717,8,12,20
1034,0.5911949686,715,0.4088050314,41457.1589978,8,12,20
954,0.5598591549,750,0.4401408451,38189.8338982,8,15,20
634,0.5561403509,506,0.4438596491,53698.7559082,8,15,20
500,0.550660793,408,0.449339207,53002.3162012,8,15,20
500,0.5096839959,481,0.4903160041,48715.5891347,8,15,20
500,0.5446623094,418,0.4553376906,51046.7910201,8,15,20
500,0.5330490405,438,0.4669509595,51457.1904477,8,18,20
500,0.48828125,524,0.51171875,52458.8512771,8,18,20
500,0.4752851711,552,0.5247148289,51664.8747566,8,18,20
500,0.4570383912,594,0.5429616088,48948.4406495,8,18,20
500,0.469043152,566,0.530956848,50344.127282,8,18,20
500,0.4504504505,610,0.5495495496,48301.9917809,8,18,20
581,0.4268919912,780,0.5731080088,23249.0810911,8,18,20
611,0.4408369408,775,0.5591630592,24449.5499942,8,18,20
