NumOfReceived,PRR,packetLoss,PLR,throughput,IPI,Density,COR
1519,0.6366303437,867,0.3633696563,80971.1635514,16,27,20
1029,0.4336283186,1344,0.5663716814,54937.2226111,16,27,20
1007,0.4436123348,1263,0.5563876652,53762.6658594,16,27,20
1013,0.4518287244,1229,0.5481712756,54054.8184161,16,27,20
1042,0.4635231317,1206,0.5364768683,55718.4241097,16,8,20
958,0.4455813953,1192,0.5544186047,51119.9566067,16,8,20
980,0.4642349597,1131,0.5357650403,52293.9013305,16,8,20
453,0.471383975,508,0.528616025,54127.780994,16,8,20
500,0.4504504505,610,0.5495495496,51457.1904477,16,8,20
500,0.4752851711,552,0.5247148289,54759.5044703,16,8,20
500,0.4344048653,651,0.5655951347,48948.4406495,16,8,20
296,0.7272727273,111,0.2727272727,15803.127204,16,11,20
301,0.7323600973,110,0.2676399027,16171.2410863,16,11,20
270,0.675,130,0.325,14498.1583312,16,11,20
252,0.63,148,0.37,13531.6144424,16,11,20
232,0.6073298429,150,0.3926701571,12765.5839856,16,11,20
255,0.6144578313,160,0.3855421687,13607.0865707,16,11,20
287,0.7034313725,121,0.2965686275,15314.6425325,16,11,20
273,0.6610169492,140,0.3389830508,14567.5867992,16,11,20
287,0.6882494005,130,0.3117505995,15338.62008,16,11,20
264,0.6486486486,143,0.3513513514,14138.9083477,16,11,20
298,0.7215496368,115,0.2784503632,16018.5385019,16,11,20
291,0.7657894737,89,0.2342105263,17497.6181292,16,11,20
441,0.665158371,222,0.334841629,23742.5723704,16,11,20
428,0.6534351145,227,0.3465648855,22982.265799,16,11,20
447,0.6583210604,232,0.3416789396,23852.4223416,16,11,20
477,0.7119402985,193,0.2880597015,25453.2560558,16,11,20
434,0.6636085627,220,0.3363914373,23158.7277321,16,11,20
465,0.7077625571,192,0.2922374429,24812.9225701,16,11,20
480,0.7272727273,180,0.2727272727,25613.3394272,16,14,20
482,0.7130177515,194,0.2869822485,25720.0616748,16,14,20
511,0.7405797101,179,0.2594202899,27439.1070638,16,14,20
434,0.6595744681,224,0.3404255319,23292.2338111,16,14,20
436,0.6337209302,252,0.3662790698,23265.4499797,16,14,20
444,0.6587537092,230,0.3412462908,23704.6908059,16,14,20
356,0.6127366609,225,0.3872633391,19006.4637994,16,14,20
497,0.6347381865,286,0.3652618135,26673.3645256,16,14,20
475,0.6144890039,298,0.3855109961,25465.9600533,16,14,20
546,0.6740740741,264,0.3259259259,29241.8331737,16,14,20
518,0.6565272497,271,0.3434727503,27684.338681,16,14,20
555,0.6946182728,244,0.3053817272,29708.3045952,16,14,20
530,0.6649937265,267,0.3350062735,28281.3956175,16,14,20
533,0.6670838548,266,0.3329161452,28560.5356092,16,14,20
600,0.7623888183,187,0.2376111817,32016.674284,16,17,20
563,0.7002487562,241,0.2997512438,30042.3127031,16,17,20
590,0.7212713936,228,0.2787286064,31483.0630459,16,17,20
568,0.7171717172,224,0.2828282828,30309.1183222,16,17,20
481,0.6784203103,228,0.3215796897,25720.309018,16,17,20
655,0.6322393822,381,0.3677606178,35061.15227,16,17,20
736,0.6752293578,354,0.3247706422,39355.8158779,16,17,20
730,0.6860902256,334,0.3139097744,38973.9285773,16,17,20
743,0.6989651929,320,0.3010348072,39647.3149883,16,17,20
763,0.7032258065,322,0.2967741935,40735.7637048,16,17,20
775,0.756097561,250,0.243902439,41376.4310239,16,17,20
720,0.6896551724,324,0.3103448276,38440.0391448,16,17,20
699,0.6638176638,354,0.3361823362,37338.3374184,16,17,20
691,0.6518867925,369,0.3481132075,36930.2664644,16,20,20
708,0.6610644258,363,0.3389355742,37838.825842,16,20,20
729,0.6694214876,360,0.3305785124,38961.1638966,16,20,20
545,0.6344586729,314,0.3655413271,29112.1514922,16,20,20
805,0.5816473988,579,0.4183526012,43022.958761,16,20,20
763,0.5434472934,641,0.4565527066,40778.2826518,16,20,20
812,0.5738515901,603,0.4261484099,43329.232531,16,20,20
805,0.564516129,621,0.435483871,43022.958761,16,20,20
799,0.5618846695,623,0.4381153305,42680.0165913,16,20,20
839,0.5850767085,595,0.4149232915,44840.0775161,16,20,20
837,0.5857242827,592,0.4142757173,44733.1881776,16,20,20
808,0.5666199158,618,0.4333800842,43115.7880357,16,20,20
826,0.5800561798,598,0.4199438202,44099.26713,16,23,20
786,0.5546930134,631,0.4453069866,41941.843312,16,23,20
771,0.5487544484,634,0.4512455516,41141.4264549,16,23,20
663,0.5580808081,525,0.4419191919,42725.8306646,16,23,20
937,0.5165380375,877,0.4834619625,50025.4398315,16,23,20
937,0.5182522124,871,0.4817477876,50077.6551044,16,23,20
1014,0.5550082102,813,0.4449917898,54136.3884622,16,23,20
278,0.5387596899,238,0.4612403101,14842.1262253,16,23,20
229,0.5491606715,188,0.4508393285,52814.8711917,16,23,20
500,0.5246589717,453,0.4753410283,50693.0243357,16,23,20
549,0.5424901186,463,0.4575098814,29295.2569698,16,23,20
731,0.5058823529,714,0.4941176471,39006.9815026,16,5,20
915,0.5372871403,788,0.4627128597,48876.3644318,16,5,20
904,0.5219399538,828,0.4780600462,48313.9810186,16,5,20
893,0.5265330189,803,0.4734669811,47676.3263282,16,5,20
718,0.5139584825,679,0.4860415175,48530.121964,16,5,20
95,0.7916666667,25,0.2083333333,5152.53678369,16,5,20
107,0.8045112782,26,0.1954887218,5803.38353531,16,5,20
113,0.7957746479,29,0.2042253521,6128.80691112,16,5,20
70,0.6140350877,44,0.3859649123,4341.60895686,16,5,20
57,0.4042553191,84,0.5957446809,3068.7678574,16,5,20
56,0.4590163934,66,0.5409836066,3019.69243893,16,5,20
95,0.6785714286,45,0.3214285714,5077.24358049,16,5,20
104,0.7375886525,37,0.2624113475,5584.47580163,16,5,20
107,0.842519685,20,0.157480315,5751.59815143,16,5,20
101,0.8416666667,19,0.1583333333,5426.23039774,16,5,20
95,0.7480314961,32,0.2519685039,5149.80930798,16,5,20
1209,0.2567969414,3499,0.7432030586,64446.436296,8,28,20
847,0.1863996479,3697,0.8136003521,45267.6348703,8,28,20
865,0.1885353095,3723,0.8114646905,46181.435917,8,28,20
828,0.1806282723,3756,0.8193717277,44206.0450165,8,28,20
883,0.1917480999,3722,0.8082519001,47167.0270965,8,28,20
888,0.1924160347,3727,0.8075839653,47384.6779403,8,28,20
891,0.1977802442,3614,0.8022197558,47544.7613117,8,28,20
885,0.19276846,3706,0.80723154,47224.5945689,8,28,20
873,0.1905281536,3709,0.8094718464,46584.2610832,8,28,20
867,0.1888477456,3724,0.8111522544,46336.5282557,8,28,20
874,0.1934484285,3644,0.8065515715,46661.9364063,8,28,20
874,0.1881998277,3770,0.8118001723,46637.622207,8,6,20
294,0.6125,186,0.3875,15820.0645233,8,6,20
410,0.7360861759,147,0.2639138241,21878.0607607,8,6,20
420,0.7355516637,151,0.2644483363,22458.4818868,8,6,20
379,0.7005545287,162,0.2994454713,20319.1554952,8,6,20
366,0.6790352505,173,0.3209647495,19704.7199265,8,6,20
383,0.7066420664,159,0.2933579336,20458.6312321,8,6,20
411,0.7418772563,143,0.2581227437,22011.7095868,8,6,20
411,0.7352415027,148,0.2647584973,21965.7590693,8,6,20
383,0.7145522388,153,0.2854477612,20447.9652673,8,6,20
401,0.7186379928,157,0.2813620072,21420.1334832,8,6,20
373,0.6907407407,167,0.3092592593,19976.5636883,8,6,20
355,0.6537753223,188,0.3462246777,18953.0748561,8,6,20
425,0.5621693122,331,0.4378306878,22713.9844391,8,9,20
731,0.5688715953,554,0.4311284047,39006.9815026,8,9,20
702,0.5383435583,602,0.4616564417,37479.0381662,8,9,20
702,0.5454545455,585,0.4545454545,37459.5089122,8,9,20
701,0.5506677141,572,0.4493322859,37425.6492229,8,9,20
669,0.5214341387,614,0.4785658613,35735.8336665,8,9,20
734,0.5703185703,553,0.4296814297,39167.0648741,8,9,20
780,0.6046511628,510,0.3953488372,41621.6765692,8,9,20
804,0.6090909091,516,0.3909090909,43059.4026954,8,12,20
754,0.574695122,558,0.425304878,40255.2632155,8,12,20
754,0.5808936826,544,0.4191063174,40318.3222445,8,12,20
792,0.5995457986,529,0.4004542014,42306.0990492,8,15,20
622,0.5701191567,469,0.4298808433,33207.9227056,8,15,20
961,0.5535714286,775,0.4464285714,53774.0605347,8,15,20
500,0.550660793,408,0.449339207,53002.3162012,8,15,20
500,0.5096839959,481,0.4903160041,48715.5891347,8,15,20
500,0.5446623094,418,0.4553376906,51046.7910201,8,15,20
500,0.5330490405,438,0.4669509595,51457.1904477,8,18,20
500,0.48828125,524,0.51171875,52458.8512771,8,18,20
500,0.4752851711,552,0.5247148289,51664.8747566,8,18,20
500,0.4570383912,594,0.5429616088,48948.4406495,8,18,20
500,0.469043152,566,0.530956848,50344.127282,8,18,20
500,0.4504504505,610,0.5495495496,48301.9917809,8,18,20
500,0.4288164666,666,0.5711835334,46043.0594692,8,18,20
500,0.4374453193,643,0.5625546807,46886.633746,8,18,20
500,0.4078303426,726,0.5921696574,32282.5367617,8,18,20
500,0.3897116134,783,0.6102883866,51353.9731799,8,18,20
500,0.3971405878,759,0.6028594122,51200.3407895,8,21,20
500,0.3996802558,751,0.6003197442,52947.0598233,8,21,20
556,0.3795221843,909,0.6204778157,29668.7848365,8,21,20
444,0.4032697548,657,0.5967302452,53488.7559166,8,21,20
500,0.4029008864,741,0.5970991136,53166.9703387,8,21,20
500,0.390625,780,0.609375,52621.0270467,8,24,20
505,0.3890600925,793,0.6109399076,26947.3675223,8,24,20
670,0.296460177,1590,0.703539823,35770.5919819,8,24,20
325,0.3045923149,742,0.6954076851,51757.4027021,8,24,20
500,0.304136253,1144,0.695863747,51047.2079474,8,26,20
500,0.300120048,1166,0.699879952,51148.7759331,8,26,20
500,0.325732899,1035,0.674267101,54994.7617489,8,26,20
500,0.3028467595,1151,0.6971532405,52621.0270467,8,26,20
500,0.3115264798,1105,0.6884735202,52566.5624097,8,26,20
500,0.2826455625,1269,0.7173544375,51613.2228948,8,26,20
500,0.296735905,1185,0.703264095,54122.8046437,8,26,20
500,0.2701242572,1351,0.7298757428,49183.5288297,8,26,20
500,0.2429543246,1558,0.7570456754,30750.7519328,8,26,20
500,0.2426006793,1561,0.7573993207,46377.0266761,8,26,20
711,0.2651006711,1971,0.7348993289,37939.7590265,8,26,20
737,0.2547528517,2156,0.7452471483,39327.1482455,8,26,20
677,0.2522354694,2007,0.7477645306,36144.3145847,8,26,20
375,0.2390057361,1194,0.7609942639,47116.264723,8,3,20
500,0.2812148481,1278,0.7187851519,51046.7910201,8,3,20
500,0.2732240437,1330,0.7267759563,49420.8860572,8,3,20
504,0.2817216322,1285,0.7182783678,26894.0063985,8,3,20
766,0.2626886145,2150,0.7373113855,40874.6208359,8,3,20
722,0.2885691447,1780,0.7114308553,38546.8170313,8,3,20
339,0.3115808824,749,0.6884191176,18108.292396,8,3,20
190,0.7063197026,79,0.2936802974,10305.0735674,8,3,20
203,0.7689393939,61,0.2310606061,10866.2807799,8,3,20
210,0.7835820896,58,0.2164179104,11235.1074638,8,3,20
216,0.7970479705,55,0.2029520295,11562.1509776,8,3,20
231,0.825,49,0.175,12365.0781288,8,3,20
238,0.8095238095,56,0.1904761905,12733.1217923,8,3,20
201,0.7230215827,77,0.2769784173,10753.6028582,8,3,20
191,0.704797048,80,0.295202952,10239.9965688,8,3,20
189,0.7269230769,71,0.2730769231,10116.8821054,8,3,20
218,0.8134328358,50,0.1865671642,11644.8605969,8,3,20
199,0.7566539924,64,0.2433460076,10652.1668729,8,3,20
612,0.8656294201,95,0.1343705799,32640,64,28,20
512,0.7191011236,200,0.2808988764,27507.2273628,64,28,20
496,0.7348148148,179,0.2651851852,26577.9093099,64,28,20
520,0.7375886525,185,0.2624113475,27878.5246899,64,28,20
557,0.7746870654,162,0.2253129346,29846.563479,64,28,20
515,0.7595870206,163,0.2404129794,27624.9243332,64,28,20
472,0.6742857143,228,0.3257142857,25305.1224108,64,28,20
496,0.7015558699,211,0.2984441301,26577.9093099,64,28,20
471,0.7082706767,194,0.2917293233,25384.4039516,64,28,20
476,0.7157894737,189,0.2842105263,25653.8774542,64,28,20
476,0.6908563135,213,0.3091436865,25626.9035109,64,28,20
435,0.6482861401,236,0.3517138599,23284.8873855,64,28,20
55,0.9016393443,6,0.0983606557,2944.06622115,64,6,20
20,0.3773584906,33,0.6226415094,1140.94719725,64,6,20
28,0.3636363636,49,0.6363636364,1540.67392929,64,6,20
20,0.3076923077,45,0.6923076923,1104.04065078,64,6,20
20,0.3225806452,42,0.6774193548,1104.04065078,64,6,20
24,0.380952381,39,0.619047619,1281.33463816,64,6,20
65,0.8441558442,12,0.1558441558,3468.47304743,64,6,20
72,0.96,3,0.04,3850.02546631,64,6,20
76,0.95,4,0.05,4190.83635032,64,6,20
79,0.9634146341,3,0.0365853659,4356.26410099,64,6,20
78,0.975,2,0.025,4301.12151744,64,6,20
74,0.9736842105,2,0.0263157895,4076.1614237,64,6,20
129,0.7049180328,54,0.2950819672,7075.29512619,64,9,20
114,0.6909090909,51,0.3090909091,6255.9369665,64,9,20
121,0.7076023392,50,0.2923976608,6629.4159238,64,9,20
114,0.6993865031,49,0.3006134969,6252.58639059,64,9,20
81,0.5436241611,68,0.4563758389,4435.50043123,64,9,20
101,0.5976331361,68,0.4023668639,5542.54064576,64,9,20
90,0.5389221557,77,0.4610778443,4938.89760513,64,9,20
78,0.4642857143,90,0.5357142857,4170.86092184,64,9,20
73,0.4709677419,82,0.5290322581,3907.57880262,64,9,20
49,0.3266666667,101,0.6733333333,2614.69506652,64,9,20
46,0.3129251701,101,0.6870748299,2625.64121298,64,9,20
77,0.48125,83,0.51875,4727.09904684,64,9,20
127,0.5545851528,102,0.4454148472,6980.58600096,64,12,20
126,0.5361702128,109,0.4638297872,6723.50159963,64,12,20
124,0.5321888412,109,0.4678111588,6616.77935202,64,12,20
108,0.5142857143,102,0.4857142857,5766.00587172,64,12,20
118,0.5437788018,99,0.4562211982,6299.89530428,64,12,20
127,0.5381355932,109,0.4618644068,6780.39579359,64,12,20
150,0.6198347107,92,0.3801652893,8004.16857099,64,12,20
196,0.768627451,59,0.231372549,10475.1551766,64,12,20
186,0.7530364372,61,0.2469635628,9925.16902803,64,12,20
182,0.7583333333,58,0.2416666667,9711.7245328,64,12,20
171,0.7339055794,62,0.2660944206,9124.75217093,64,12,20
163,0.711790393,66,0.288209607,9335.12170593,64,12,20
201,0.6611842105,103,0.3388157895,10965.5673004,64,15,20
216,0.6900958466,97,0.3099041534,11526.0027422,64,15,20
238,0.7777777778,68,0.2222222222,12726.4730692,64,15,20
211,0.7226027397,81,0.2773972603,11300.415384,64,15,20
235,0.7413249211,82,0.2586750789,12559.4972781,64,15,20
271,0.8390092879,52,0.1609907121,14498.6386795,64,15,20
261,0.8233438486,56,0.1766561514,13970.9324313,64,15,20
248,0.7630769231,77,0.2369230769,13240.4579276,64,15,20
217,0.7161716172,86,0.2838283828,11621.7542101,64,15,20
206,0.6498422713,111,0.3501577287,10992.3915042,64,15,20
195,0.6632653061,99,0.3367346939,10432.5997878,64,15,20
205,0.6699346405,101,0.3300653595,11279.9341252,64,15,20
158,0.4846625767,168,0.5153374233,8596.80079308,64,18,20
158,0.4514285714,192,0.5485714286,8628.89341269,64,18,20
179,0.5,179,0.5,9556.62084294,64,18,20
179,0.5114285714,171,0.4885714286,9556.62084294,64,18,20
218,0.5956284153,148,0.4043715847,11632.7249898,64,18,20
226,0.6026666667,149,0.3973333333,12065.901176,64,18,20
255,0.7063711911,106,0.2936288089,13621.2818908,64,18,20
249,0.6552631579,131,0.3447368421,13300.7811405,64,18,20
277,0.7367021277,99,0.2632978723,14796.4513089,64,18,20
257,0.717877095,101,0.282122905,13764.0130506,64,18,20
242,0.6470588235,132,0.3529411765,12920.1242681,64,18,20
232,0.6904761905,104,0.3095238095,12710.9462341,64,18,20
300,0.6302521008,176,0.3697478992,16176.9935651,64,21,20
324,0.7012987013,138,0.2987012987,17471.1530503,64,21,20
322,0.7076923077,133,0.2923076923,17345.0399784,64,21,20
343,0.7190775681,134,0.2809224319,18485.9619868,64,21,20
257,0.5921658986,177,0.4078341014,13961.2111921,64,21,20
252,0.5575221239,200,0.4424778761,13510.3619651,64,21,20
278,0.592750533,191,0.407249467,14880.916536,64,21,20
296,0.635193133,170,0.364806867,15844.4291175,64,21,20
286,0.6299559471,168,0.3700440529,15261.2814087,64,21,20
293,0.6613995485,150,0.3386004515,15642.9603742,64,21,20
292,0.6517857143,156,0.3482142857,15589.5714309,64,21,20
276,0.6244343891,166,0.3755656109,15025.2448611,64,21,20
427,0.7237288136,163,0.2762711864,22988.8399142,64,24,20
372,0.6702702703,183,0.3297297297,20017.2244988,64,24,20
378,0.6573913043,197,0.3426086957,20233.7642108,64,24,20
376,0.6449399657,207,0.3550600343,20095.1956449,64,24,20
356,0.625659051,213,0.374340949,19066.103681,64,24,20
348,0.6247755835,209,0.3752244165,18579.3522533,64,24,20
